technique_slug,technique_name,target_artifact,target_shape,proposed_edge_type,via_constituent,from_level,to_level,confidence,note
product-vision-board,Product Vision Board,coord-vision,anchor,formalise,,,,draft,Formalises the coord-vision anchor (likely via a field-content item).
release-planning,Release Planning,coord-delivery-schedule,container,produce_or_shape,,,,draft,Fills/structures the coord-delivery-schedule container.
retrospective-techniques,Retrospective Techniques,coord-way-of-working,anchor,formalise,,,,draft,Formalises the coord-way-of-working anchor (likely via a field-content item).
retrospective-techniques,Retrospective Techniques,team-working-agreement,anchor,formalise,,,,draft,Formalises the team-working-agreement anchor (likely via a field-content item).
rice,RICE,coord-backlog,container,produce_or_shape,,,,draft,Orders/structures the container coord-backlog.
rice-reach-impact-confidence-effort,"RICE (Reach, Impact, Confidence, Effort)",coord-backlog,container,produce_or_shape,,,,draft,Orders/structures the container coord-backlog.
risk-analysis,Risk Analysis,coord-delivery-schedule,container,produce_or_shape,,,,draft,Fills/structures the coord-delivery-schedule container.
rolling-wave-planning,Rolling Wave Planning,coord-delivery-schedule,container,produce_or_shape,,,,draft,Fills/structures the coord-delivery-schedule container.
service-blueprint,Service Blueprint,coord-solution-design,container,produce_or_shape,,,,draft,Fills/structures the coord-solution-design container.
service-blueprinting,Service Blueprinting,coord-solution-design,container,produce_or_shape,,,,draft,Fills/structures the coord-solution-design container.
spikes,Spikes,,,,,,,draft,No produce link in the draft; may convene an event or generate an item - Alun to decide.
sprint-miov2esf,Sprint,team-output,container,produce_or_shape,,,,draft,Fills/structures the team-output container.
sprint-miov2esf,Sprint,team-selected-work-items,container,produce_or_shape,,,,draft,Fills/structures the team-selected-work-items container.
story-mapping,Story Mapping,coord-backlog,container,generate,ci-story,,,draft,Generates ci-story; that item then populates/formalises coord-backlog.
story-mapping,Story Mapping,team-selected-work-items,container,generate,ci-story,,,draft,Generates ci-story; that item then populates/formalises team-selected-work-items.
story-splitting,Story Splitting,coord-backlog,container,decompose,ci-story,story,story,draft,Splits one item into smaller items; pick the real from/to levels.
story-splitting,Story Splitting,team-selected-work-items,container,decompose,ci-story,story,story,draft,Splits one item into smaller items; pick the real from/to levels.
storyboards,Storyboards,coord-solution-design,container,produce_or_shape,,,,draft,Fills/structures the coord-solution-design container.
swot,SWOT,org-strategy,anchor,formalise,,,,draft,Formalises the org-strategy anchor (likely via a field-content item).
task-boards,Task Boards,team-plan,container,produce_or_shape,,,,draft,Fills/structures the team-plan container.
team-working-agreements,Team Working Agreements,team-working-agreement,anchor,formalise,,,,draft,Formalises the team-working-agreement anchor (likely via a field-content item).
technical-debt-radar,Technical Debt Radar,team-delivery-health-metrics,container,produce_or_shape,,,,draft,Fills/structures the team-delivery-health-metrics container.
usability-testing,Usability Testing,team-output-feedback,container,produce_or_shape,,,,draft,Fills/structures the team-output-feedback container.
use-cases,Use Cases,coord-backlog,container,generate,ci-story,,,draft,Generates ci-story; that item then populates/formalises coord-backlog.
use-cases,Use Cases,team-selected-work-items,container,generate,ci-story,,,draft,Generates ci-story; that item then populates/formalises team-selected-work-items.
user-journey-analytics,User Journey Analytics,team-output-feedback,container,produce_or_shape,,,,draft,Fills/structures the team-output-feedback container.
user-stories,User Stories,coord-backlog,container,generate,ci-story,,,draft,Generates ci-story; that item then populates/formalises coord-backlog.
user-stories,User Stories,team-selected-work-items,container,generate,ci-story,,,draft,Generates ci-story; that item then populates/formalises team-selected-work-items.
value-proposition-canvas,Value Proposition Canvas,coord-user-beneficiary-profile,container,produce_or_shape,,,,draft,Fills/structures the coord-user-beneficiary-profile container.
value-proposition-canvas,Value Proposition Canvas,org-value-proposition,anchor,formalise,,,,draft,Formalises the org-value-proposition anchor (likely via a field-content item).
velocity-forecasting,Velocity Forecasting,team-delivery-health-metrics,container,produce_or_shape,,,,draft,Fills/structures the team-delivery-health-metrics container.
velocity-forecasting,Velocity Forecasting,team-plan,container,produce_or_shape,,,,draft,Fills/structures the team-plan container.
working-agreements,Working Agreements,team-working-agreement,anchor,formalise,,,,draft,Formalises the team-working-agreement anchor (likely via a field-content item).
wsjf-weighted-shortest-job-first,WSJF (Weighted Shortest Job First),coord-backlog,container,produce_or_shape,,,,draft,Orders/structures the container coord-backlog.
